playerId,season,name,team,position,situation,games_played,icetime,xGoals,goals,unblocked_shot_attempts,xRebounds,rebounds,xFreeze,freeze,xOnGoal,ongoal,xPlayStopped,playStopped,xPlayContinuedInZone,playContinuedInZone,xPlayContinuedOutsideZone,playContinuedOutsideZone,flurryAdjustedxGoals,lowDangerShots,mediumDangerShots,highDangerShots,lowDangerxGoals,mediumDangerxGoals,highDangerxGoals,lowDangerGoals,mediumDangerGoals,highDangerGoals,blocked_shot_attempts,penalityMinutes,penalties
8473575,2020,Semyon Varlamov,NYI,G,all,36,127016.0,74.69,72.0,1937.0,68.71,63.0,236.02,237.0,1008.5,1020.0,31.64,40.0,585.16,477.0,419.26,530.0,71.55,1139.0,229.0,49.0,31.03,27.76,15.9,27.0,30.0,15.0,520.0,2.0,1.0
8473575,2020,Semyon Varlamov,NYI,G,5on5,36,107570.0,55.64,52.0,1593.0,53.37,46.0,198.21,208.0,826.1,831.0,26.81,33.0,475.43,383.0,352.87,442.0,53.87,958.0,174.0,30.0,25.68,20.97,9.0,22.0,21.0,9.0,431.0,2.0,1.0
8473575,2020,Semyon Varlamov,NYI,G,4on5,36,8530.0,11.38,14.0,232.0,10.74,13.0,26.36,18.0,119.09,118.0,0.68,1.0,77.15,77.0,39.77,46.0,10.8,129.0,29.0,12.0,3.42,3.37,4.6,5.0,3.0,6.0,62.0,0.0,0.0
8473575,2020,Semyon Varlamov,NYI,G,5on4,36,7371.0,1.57,0.0,29.0,0.7,1.0,2.45,1.0,15.42,18.0,3.32,5.0,4.77,1.0,11.01,17.0,1.44,17.0,1.0,3.0,0.34,0.09,1.14,0.0,0.0,0.0,8.0,0.0,0.0
8473575,2021,Semyon Varlamov,NYI,G,other,31,2062.0,3.95,1.0,54.0,2.41,1.0,5.76,6.0,30.86,37.0,0.61,1.0,18.39,18.0,11.38,17.0,3.73,22.0,16.0,5.0,0.63,1.77,1.55,1.0,0.0,0.0,11.0,0.0,0.0
8473575,2021,Semyon Varlamov,NYI,G,all,31,107537.0,87.7,87.0,1700.0,64.74,92.0,218.17,217.0,939.06,979.0,24.78,33.0,525.71,373.0,382.33,516.0,82.54,1007.0,203.0,100.0,29.04,25.39,33.27,31.0,25.0,31.0,390.0,0.0,0.0
8473575,2021,Semyon Varlamov,NYI,G,5on5,31,90059.0,65.05,73.0,1413.0,51.46,75.0,187.15,188.0,778.57,803.0,20.34,24.0,437.32,294.0,322.0,440.0,62.45,863.0,159.0,67.0,25.54,19.98,19.54,30.0,23.0,20.0,324.0,0.0,0.0
8473575,2021,Semyon Varlamov,NYI,G,4on5,31,7584.0,15.65,11.0,195.0,9.31,14.0,21.86,21.0,104.57,113.0,0.49,0.0,62.76,55.0,33.02,40.0,13.54,100.0,23.0,23.0,2.16,2.89,10.61,0.0,2.0,9.0,49.0,0.0,0.0
8473575,2021,Semyon Varlamov,NYI,G,5on4,31,7832.0,3.04,2.0,38.0,1.55,2.0,3.41,2.0,25.06,26.0,3.33,8.0,7.24,6.0,15.92,19.0,2.81,22.0,5.0,5.0,0.72,0.75,1.57,0.0,0.0,2.0,6.0,0.0,0.0
8473575,2022,Semyon Varlamov,NYI,G,other,23,2078.0,4.84,5.0,77.0,3.08,3.0,6.42,5.0,35.15,31.0,0.44,0.0,22.05,19.0,10.37,15.0,4.55,24.0,17.0,7.0,0.97,2.2,1.68,1.0,3.0,1.0,29.0,0.0,0.0
8473575,2022,Semyon Varlamov,NYI,G,all,23,80084.0,63.55,60.0,1338.0,49.44,62.0,166.04,128.0,709.13,689.0,21.77,21.0,395.7,319.0,286.49,394.0,61.15,731.0,196.0,58.0,22.17,24.74,16.65,23.0,25.0,12.0,353.0,0.0,0.0
8473575,2022,Semyon Varlamov,NYI,G,5on5,23,65170.0,45.53,42.0,1051.0,36.68,47.0,136.88,105.0,562.67,537.0,17.69,17.0,310.53,252.0,232.6,317.0,44.15,605.0,140.0,36.0,18.12,17.94,9.47,19.0,16.0,7.0,270.0,0.0,0.0
8473575,2022,Semyon Varlamov,NYI,G,4on5,23,6328.0,10.95,11.0,177.0,8.62,10.0,19.65,17.0,91.85,96.0,0.36,0.0,55.88,45.0,29.86,42.0,10.33,82.0,34.0,12.0,2.52,4.01,4.41,2.0,6.0,3.0,49.0,0.0,0.0
8473575,2022,Semyon Varlamov,NYI,G,5on4,23,6508.0,1.47,1.0,30.0,0.93,1.0,2.71,1.0,16.98,22.0,3.14,3.0,6.49,3.0,12.78,19.0,1.4,20.0,3.0,2.0,0.56,0.39,0.52,1.0,0.0,0.0,5.0,0.0,0.0
8473575,2023,Semyon Varlamov,NYI,G,other,28,2234.0,4.7,4.0,82.0,3.32,4.0,8.0,6.0,38.96,42.0,0.51,0.0,24.93,19.0,11.63,21.0,4.53,36.0,12.0,6.0,1.19,1.36,2.15,0.0,0.0,4.0,28.0,0.0,0.0
8473575,2023,Semyon Varlamov,NYI,G,all,28,95684.0,78.14,69.0,1773.0,59.7,96.0,219.08,124.0,889.59,837.0,27.72,4.0,482.03,466.0,354.18,466.0,75.11,922.0,221.0,80.0,25.05,27.55,25.55,20.0,28.0,21.0,550.0,0.0,0.0
8473575,2023,Semyon Varlamov,NYI,G,5on5,28,79051.0,55.96,47.0,1408.0,44.39,79.0,180.11,96.0,702.54,647.0,22.96,4.0,375.03,367.0,285.96,374.0,53.97,748.0,165.0,52.0,19.99,20.98,14.98,18.0,22.0,7.0,443.0,0.0,0.0
8473575,2023,Semyon Varlamov,NYI,G,4on5,28,6660.0,15.24,16.0,237.0,10.65,11.0,25.84,20.0,117.97,118.0,0.3,0.0,72.23,69.0,37.07,49.0,14.46,109.0,37.0,19.0,3.16,4.3,7.77,2.0,5.0,9.0,72.0,0.0,0.0
8473575,2023,Semyon Varlamov,NYI,G,5on4,28,7739.0,1.54,0.0,38.0,0.96,1.0,3.81,2.0,24.61,25.0,3.89,0.0,7.44,8.0,17.5,21.0,1.51,26.0,4.0,2.0,0.57,0.54,0.43,0.0,0.0,0.0,6.0,0.0,0.0
